x	y1	y2	y3
6.782247267951e+05	4.179543772853e+00	1.474437543328e+00	4.000000000000e+00
6.973062680629e+05	4.169933646860e+00	1.434090077489e+00	4.000000000000e+00
7.169246597327e+05	4.160833792433e+00	1.394846705891e+00	4.000000000000e+00
7.370950058440e+05	4.152217541593e+00	1.356677215382e+00	4.000000000000e+00
7.578328353814e+05	4.144059576060e+00	1.319552219582e+00	4.000000000000e+00
7.791541142307e+05	4.136335863499e+00	1.283443136262e+00	4.000000000000e+00
8.010752574703e+05	4.129023596296e+00	1.248322165333e+00	4.000000000000e+00
8.236131420095e+05	4.122101132829e+00	1.214162267445e+00	4.000000000000e+00
8.467851195814e+05	4.115547941160e+00	1.180937143173e+00	4.000000000000e+00
8.706090301025e+05	4.109344545109e+00	1.148621212764e+00	4.000000000000e+00
8.951032154068e+05	4.103472472639e+00	1.117189596448e+00	4.000000000000e+00
9.202865333677e+05	4.097914206474e+00	1.086618095280e+00	4.000000000000e+00
9.461783724159e+05	4.092653136912e+00	1.056883172511e+00	4.000000000000e+00
9.727986664671e+05	4.087673516726e+00	1.027961935466e+00	4.000000000000e+00
1.000167910268e+06	4.082960418123e+00	9.998321179210e-01	4.000000000000e+00
1.028307175176e+06	4.078499691651e+00	9.724720629597e-01	4.000000000000e+00
1.057238125382e+06	4.074277927020e+00	9.458607062989e-01	4.000000000000e+00
1.086983034588e+06	4.070282415736e+00	9.199775600724e-01	4.000000000000e+00
1.117564803156e+06	4.066501115504e+00	8.948026970574e-01	4.000000000000e+00
1.149006975740e+06	4.062922616307e+00	8.703167353322e-01	4.000000000000e+00
1.181333759413e+06	4.059536108118e+00	8.465008233549e-01	4.000000000000e+00
1.214570042301e+06	4.056331350158e+00	8.233366254494e-01	4.000000000000e+00
1.248741412747e+06	4.053298641647e+00	8.008063076889e-01	4.000000000000e+00
1.283874179010e+06	4.050428793982e+00	7.788925241656e-01	4.000000000000e+00
1.319995389520e+06	4.047713104283e+00	7.575784036366e-01	4.000000000000e+00
1.357132853701e+06	4.045143330235e+00	7.368475365346e-01	4.000000000000e+00
1.395315163385e+06	4.042711666189e+00	7.166839623341e-01	4.000000000000e+00
1.434571714820e+06	4.040410720446e+00	6.970721572642e-01	4.000000000000e+00
1.474932731304e+06	4.038233493683e+00	6.779970223561e-01	4.000000000000e+00
1.516429286455e+06	4.036173358461e+00	6.594438718194e-01	4.000000000000e+00
1.559093328130e+06	4.034224039773e+00	6.413984217348e-01	4.000000000000e+00
1.602957703028e+06	4.032379596568e+00	6.238467790578e-01	4.000000000000e+00
1.648056181973e+06	4.030634404224e+00	6.067754309219e-01	4.000000000000e+00
1.694423485914e+06	4.028983137915e+00	5.901712342357e-01	4.000000000000e+00
1.742095312662e+06	4.027420756821e+00	5.740214055636e-01	4.000000000000e+00
1.791108364366e+06	4.025942489161e+00	5.583135112844e-01	4.000000000000e+00
