x	y1	y2
1.431458937523e+03	4.312998001260e+00	-1.620748819935e+01
1.516716888471e+03	4.293885240383e+00	-1.716015315551e+01
1.607052818262e+03	4.272485989906e+00	-1.816721292896e+01
1.702769172226e+03	4.248534409952e+00	-1.923147978536e+01
1.804186409392e+03	4.221735673894e+00	-2.035585797938e+01
1.911644075386e+03	4.191763281883e+00	-2.154333665700e+01
2.025501939231e+03	4.158256242658e+00	-2.279698047974e+01
2.146141197858e+03	4.120816148373e+00	-2.411991763603e+01
2.273965752358e+03	4.079004177107e+00	-2.551532488770e+01
2.409403560240e+03	4.032338069460e+00	-2.698640929096e+01
2.552908068240e+03	3.980289139167e+00	-2.853638623419e+01
2.704959730463e+03	3.922279392907e+00	-3.016845345497e+01
2.866067616948e+03	3.857678851235e+00	-3.188576073883e+01
3.036771118035e+03	3.785803180216e+00	-3.369137506952e+01
3.217641750251e+03	3.705911761332e+00	-3.558824109858e+01
3.409285069747e+03	3.617206344300e+00	-3.757913693600e+01
3.612342699709e+03	3.518830442357e+00	-3.966662543752e+01
3.827494478516e+03	3.409869640479e+00	-4.185300137827e+01
4.055460735841e+03	3.289352991895e+00	-4.414023515616e+01
4.297004704321e+03	3.156255674939e+00	-4.652991395513e+01
4.552935074867e+03	3.009503068462e+00	-4.902318160759e+01
4.824108704165e+03	2.847976377838e+00	-5.162067871030e+01
5.111433483440e+03	2.670519903606e+00	-5.432248484659e+01
5.415871378079e+03	2.475949990655e+00	-5.712806502208e+01
5.738441648302e+03	2.263065628556e+00	-6.003622260240e+01
6.080224261649e+03	2.030660595595e+00	-6.304506111855e+01
6.442363508721e+03	1.777536954568e+00	-6.615195725405e+01
6.826071834272e+03	1.502519622964e+00	-6.935354713003e+01
7.232633896484e+03	1.204471660529e+00	-7.264572765618e+01
7.663410868007e+03	8.823098501060e-01	-7.602367422707e+01
8.119844993184e+03	5.350200993148e-01	-7.948187544133e+01
8.603464416685e+03	1.616721655990e-01	-8.301418484449e+01
9.115888299751e+03	-2.385667923696e-01	-8.661388899158e+01
9.658832241159e+03	-6.664203082324e-01	-9.027379044185e+01
1.023411402105e+04	-1.122492769507e+00	-9.398630367562e+01
1.084365968690e+04	-1.607262003771e+00	-9.774356139499e+01
1.148951000187e+04	-2.121074566244e+00	-1.015375282513e+02
1.217382727740e+04	-2.664143917001e+00	-1.053601187393e+02
1.289890261253e+04	-3.236551582246e+00	-1.092033158069e+02
1.366716356462e+04	-3.838251297404e+00	-1.130592866458e+02
1.448118227675e+04	-4.469076031734e+00	-1.169204921535e+02
1.534368408930e+04	-5.128747696132e+00	-1.207797866840e+02
1.625755666444e+04	-5.816889239844e+00	-1.246305049625e+02
1.722585965399e+04	-6.533038751274e+00	-1.284665334056e+02
1.825183494319e+04	-7.276665097458e+00	-1.322823635993e+02
1.933891750455e+04	-8.047184571335e+00	-1.360731263013e+02
2.049074689816e+04	-8.843977970877e+00	-1.398346050575e+02
2.171117945695e+04	-9.666407513380e+00	-1.435632292987e+02
2.300430119773e+04	-1.051383299400e+01	-1.472560475833e+02
2.437444150122e+04	-1.138562662962e+01	-1.509106824236e+02
2.582618760683e+04	-1.228118608547e+01	-1.545252688381e+02
2.736439997075e+04	-1.319994525799e+01	-1.580983793730e+02
2.899422853883e+04	-1.414138247962e+01	-1.616289388231e+02
3.072112998862e+04	-1.510502591388e+01	-1.651161322250e+02
3.255088599835e+04	-1.609045601832e+01	-1.685593099151e+02
3.448962260406e+04	-1.709730506606e+01	-1.719578935206e+02
3.654383070957e+04	-1.812525382978e+01	-1.753112867000e+02
3.872038781813e+04	-1.917402564383e+01	-1.786187942619e+02
4.102658105827e+04	-2.024337816713e+01	-1.818795529679e+02
4.347013158125e+04	-2.133309326909e+01	-1.850924768577e+02
4.605922041145e+04	-2.244296554689e+01	-1.882562193258e+02
4.880251583654e+04	-2.357279005084e+01	-1.913691534346e+02
5.170920242897e+04	-2.472234983780e+01	-1.944293710851e+02
5.478901179594e+04	-2.589140398476e+01	-1.974347007274e+02
5.805225516095e+04	-2.707967667131e+01	-2.003827423240e+02
6.150985788581e+04	-2.828684787858e+01	-2.032709173621e+02
6.517339604882e+04	-2.951254615459e+01	-2.060965309010e+02
6.905513520162e+04	-3.075634376830e+01	-2.088568420356e+02
7.316807143427e+04	-3.201775442563e+01	-2.115491387901e+02
7.752597488629e+04	-3.329623356360e+01	-2.141708133811e+02
8.214343584919e+04	-3.459118108631e+01	-2.167194339961e+02
8.703591361485e+04	-3.590194627290e+01	-2.191928097064e+02
9.221978823334e+04	-3.722783448263e+01	-2.215890458029e+02
9.771241535347e+04	-3.856811521290e+01	-2.239065876526e+02
1.035321843296e+05	-3.992203103550e+01	-2.261442520220e+02
1.096985797892e+05	-4.128880694213e+01	-2.283012456370e+02
1.162322468680e+05	-4.266765966665e+01	-2.303771714786e+02
1.231550603293e+05	-4.405780661228e+01	-2.323720238950e+02
1.304901978014e+05	-4.545847408639e+01	-2.342861740354e+02
1.382622173765e+05	-4.686890462639e+01	-2.361203473625e+02
1.464971398307e+05	-4.828836327988e+01	-2.378755950968e+02
1.552225357427e+05	-4.971614277437e+01	-2.395532614151e+02
1.644676177995e+05	-5.115156757339e+01	-2.411549480904e+02
1.742633386010e+05	-5.259399686504e+01	-2.426824780635e+02
1.846424942896e+05	-5.404282656417e+01	-2.441378591928e+02
1.956398343517e+05	-5.549749043346e+01	-2.455232491853e+02
2.072921779595e+05	-5.695746044110e+01	-2.468409224590e+02
2.196385372417e+05	-5.842224647690e+01	-2.480932394698e+02
